NdUnfilled_max_value,phi_composition_average,SpaceGroupNumber_composition_average,phi_max_value,NpValence_composition_average,SecondIonizationEnergy_min_value,ThermalExpansionCoefficient_difference,ElasticModulus_composition_average,IsAlkali_arithmetic_average,Electronegativity_composition_average,Group_composition_average,Column_composition_average,ElasticModulus_min_value,ThirdIonizationEnergy_min_value,NUnfilled_arithmetic_average,NdUnfilled_composition_average,SecondIonizationEnergy_difference,HeatFusion_difference,NValance_min_value,BoilingT_difference,IonicRadii_min_value,n_ws^third_composition_average,MendeleevNumber_min_value,SecondIonizationEnergy_arithmetic_average,SecondIonizationEnergy_composition_average
5.0,3.122,102.8,6.86,2.6,16.461,1795.2,66.60000000000001,0.0,2.886,13.4,13.4,11.0,27.16,3.4,1.0,18.656,37.26,5.0,4834.79,0.59,0.946,50.0,27.3318,27.3318
0.0,4.404,84.8,6.86,3.2,16.687,766.6,13.6,0.0,2.712,15.2,15.2,34.0,25.559,2.6666666666666665,0.0,18.43,10.886,5.0,1759.79,1.03,1.124,82.0,27.135,25.5386
0.0,2.9819999999999998,111.2,6.86,3.0000000000000004,14.632,1778.0,12.4,0.0,2.8079999999999994,15.000000000000002,15.000000000000002,12.0,29.829,3.0,0.0,20.485,6.9300000000000015,5.0,2797.79,0.71,0.802,76.0,26.9496,26.9496
6.0,1.7799999999999998,103.4,4.8,2.4000000000000004,17.964000000000002,775.5,103.0,0.0,2.694,13.2,13.2,19.0,34.83,2.5,1.2,17.153,52.09,6.0,5737.9,0.29,0.626,51.0,19.10275,22.3056
5.0,5.636000000000001,200.2,6.86,1.8,11.03,233.8,95.2,0.0,2.394,10.8,10.8,15.0,43.6,2.666666666666667,1.0,18.571,33.725,2.0,5791.79,0.53,1.5279999999999998,8.0,13.543666666666665,19.9666
8.0,2.522,128.8,6.86,2.4000000000000004,13.58,1791.4,22.36,0.2,2.5580000000000003,10.6,10.6,1.8,27.491,3.0,1.6,21.537,13.93,1.0,3482.79,0.61,0.7440000000000001,5.0,27.6736,27.6736
9.0,1.354,96.4,3.6,2.4000000000000004,11.059000000000001,774.8,41.6,0.0,2.372,11.0,11.0,19.0,19.174,5.25,3.4000000000000004,24.058000000000003,26.98,3.0,4785.9,0.29,0.526,13.0,21.10775,23.9096
0.0,2.05,97.0,5.45,3.0,18.633,768.2,36.99999999999999,0.0,2.7680000000000002,14.6,14.6,19.0,28.351,1.75,0.0,16.483999999999998,24.22,6.0,3145.9,0.29,0.6219999999999999,62.0,24.1775,26.3654
6.0,5.836,207.2,6.86,2.2,14.32,234.3,43.8,0.0,2.5460000000000003,12.8,12.8,104.0,25.04,4.666666666666666,1.2,15.281,36.585,5.0,4939.79,0.53,1.5919999999999996,47.0,19.951666666666664,23.811400000000006
5.0,3.3920000000000003,134.39999999999998,6.86,2.2,16.5,775.1,77.19999999999997,0.0,2.7560000000000002,12.6,12.6,127.0,30.96,2.75,1.0,18.617,20.78,5.0,3158.79,0.62,1.0099999999999998,49.0,25.212,27.192999999999994
0.0,1.25,81.8,4.15,3.0,14.632,1778.0,10.4,0.25,2.728,12.8,12.8,2.0,30.502,2.0,0.0,20.485,6.9300000000000015,1.0,2790.12,0.71,0.368,4.0,27.99975,29.4232
6.0,3.262,135.2,6.86,2.2,16.461,775.5,144.60000000000005,0.0,2.888,11.8,11.8,322.0,27.16,4.25,2.2,18.656,52.09,5.0,5750.79,0.59,1.0459999999999998,50.0,20.29475,23.2592
3.0,4.854,163.8,6.86,2.0,17.06,768.2,67.0,0.0,2.72,13.0,13.0,127.0,32.93,2.0,0.6,18.057000000000002,16.52,5.0,3158.79,0.64,1.344,58.0,25.352,26.201799999999995
6.0,2.752,135.2,6.86,2.2,27.28,775.5,80.60000000000002,0.25,2.62,10.8,10.8,2.0,40.0,3.0,1.2,7.836999999999996,52.09,1.0,5750.79,0.6,0.8119999999999999,4.0,22.9995,25.423000000000002
3.0,1.5,98.6,5.55,2.6,25.1,1793.6,106.96,0.25,2.77,11.8,11.8,1.8,54.934,1.75,0.6,10.016999999999996,40.9,1.0,4616.12,0.63,0.47600000000000003,5.0,23.79675,26.0608
6.0,5.466,208.0,6.86,1.8,25.1,235.5,80.56,0.3333333333333333,2.454,10.4,10.4,1.8,47.448,3.333333333333333,1.2,4.500999999999999,51.95500000000001,1.0,5750.79,0.6,1.4619999999999995,5.0,18.233666666666664,22.7806
0.0,3.4419999999999997,116.2,6.86,2.6,18.211,1795.3,148.4,0.0,2.8139999999999996,12.6,12.6,301.0,37.93,2.2,0.0,16.906,49.98,2.0,4195.79,0.23,1.0139999999999998,67.0,28.6106,28.6106
8.0,3.022,116.2,6.86,3.0,13.13,1794.3,26.6,0.0,2.7940000000000005,13.400000000000002,13.400000000000002,39.0,22.99,3.4,1.6,21.986999999999995,24.22,4.0,4604.79,0.58,0.8999999999999999,44.0,26.2902,26.2902
9.0,5.776000000000002,194.0,6.86,1.8,12.8,230.0,76.2,0.0,2.41,10.0,10.0,80.0,24.76,4.0,1.8,16.801,13.745,2.0,3025.79,0.45,1.5779999999999998,11.0,20.204,23.9628
